Date,Clics,Impressions,CTR,Position
2026-02-25,2,160,1.25%,24.7
2026-02-26,3,152,1.97%,19
2026-02-27,2,331,0.6%,35.7
2026-02-28,0,79,0%,24.4
2026-03-01,2,162,1.23%,26.4
2026-03-02,1,129,0.78%,23.9
2026-03-03,4,122,3.28%,18.8
2026-03-04,3,117,2.56%,20.6
2026-03-05,3,170,1.76%,24.1
2026-03-06,1,276,0.36%,24.4
2026-03-07,2,85,2.35%,22.9
2026-03-08,1,194,0.52%,27.9
2026-03-09,4,112,3.57%,19.2
2026-03-10,1,148,0.68%,21
2026-03-11,5,186,2.69%,17
2026-03-12,6,193,3.11%,19.9
2026-03-13,6,279,2.15%,20.6
2026-03-14,0,115,0%,24.9
2026-03-15,0,191,0%,18.9
2026-03-16,7,171,4.09%,16.5
2026-03-17,3,138,2.17%,20.3
2026-03-18,3,111,2.7%,21.5
2026-03-19,1,85,1.18%,23
2026-03-20,1,218,0.46%,24.8
2026-03-21,0,81,0%,21.6
2026-03-22,2,197,1.02%,21.9