Pays,Clics,Impressions,CTR,Position
France,56,3911,1.43%,23.06
Belgique,2,91,2.2%,47.85
Suisse,1,12,8.33%,10.08
Espagne,1,11,9.09%,14.64
Singapour,1,7,14.29%,8
Pays-Bas,1,4,25%,7.75
Croatie,1,1,100%,1
États-Unis,0,32,0%,8.88
Royaume-Uni,0,13,0%,9.46
Canada,0,12,0%,1.5
Indonésie,0,9,0%,4.89
Hong-Kong,0,8,0%,8.75
Brésil,0,8,0%,14.25
Maroc,0,6,0%,4.5
Corée du Sud,0,5,0%,5
Algérie,0,4,0%,2.75
Allemagne,0,4,0%,5.75
Grèce,0,4,0%,22.5
Tunisie,0,3,0%,4.33
Japon,0,3,0%,7
Bangladesh,0,3,0%,7.33
Philippines,0,3,0%,7.33
Italie,0,3,0%,30.67
Émirats Arabes Unis,0,3,0%,48.67
Luxembourg,0,2,0%,1
Argentine,0,2,0%,3
Thaïlande,0,2,0%,7
Monaco,0,2,0%,9.5
Réunion (Île de la),0,2,0%,10.5
Irlande,0,2,0%,18.5
Colombie,0,2,0%,26.5
Chypre,0,2,0%,39.5
Mexique,0,2,0%,50
Cameroun,0,1,0%,1
Pakistan,0,1,0%,1
Polynésie française,0,1,0%,1
Sénégal,0,1,0%,1
Tchad,0,1,0%,1
Bulgarie,0,1,0%,2
Arménie,0,1,0%,4
Russie,0,1,0%,4
Équateur,0,1,0%,5
Malaisie,0,1,0%,5
Inde,0,1,0%,6
Nigéria,0,1,0%,6
Comores (Archipel),0,1,0%,8
Pérou,0,1,0%,8
Serbie,0,1,0%,8
République tchèque,0,1,0%,10
Israël,0,1,0%,11
Géorgie,0,1,0%,16
Guadeloupe,0,1,0%,36
Portugal,0,1,0%,39
Chili,0,1,0%,45
Égypte,0,1,0%,46
Pologne,0,1,0%,51
Vietnam,0,1,0%,89